instance_name,greedy_profit,sa_profit
n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_200,99770761,99953391
n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_300,99972416,99969264
n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_100,99604320,99576210
n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_200,99957671,99621753
n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_300,99427823,99858481
n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_100,95474471,91333449
n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_200,95480875,96846825
n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_300,95291843,97634575
n_1000_c_100000000_g_10_f_0.1_eps_0_s_100,99821840,99810768
n_1000_c_100000000_g_10_f_0.1_eps_0_s_200,99834744,99816553
n_1000_c_100000000_g_10_f_0.1_eps_0_s_300,99851422,99821952
n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_100,99965373,99845194
n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_200,99977999,99839957
n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_300,100006480,99846178
n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_100,99973101,99996125
n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_200,99868856,99819279
n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_300,99959938,99862815
n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_100,100008604,99758823
n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_200,99739479,99950835
n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_300,99774180,99866611
n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_100,99686876,99150970
n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_200,99406250,99787352
n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_300,99936306,99633658
n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_100,95675982,94230253
n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_200,94709891,94279140
n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_300,92962817,98782083
n_1000_c_100000000_g_10_f_0.2_eps_0_s_100,99824842,99815703
n_1000_c_100000000_g_10_f_0.2_eps_0_s_200,99844533,99826636
n_1000_c_100000000_g_10_f_0.2_eps_0_s_300,99861901,99835453
n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_100,99963732,99833741
n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_200,99991892,99848652
n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_300,100015026,99860557
n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_100,99887601,99971893
n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_200,99992252,99956547
n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_300,100031518,99972940
n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_100,99918569,99957687
n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_200,100020415,99964782
n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_300,99974983,100002292
n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_100,99762269,99546668
n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_200,99954120,99891777
n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_300,99558872,99640795
n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_100,93532889,95641671
n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_200,99408566,99564146
n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_300,95514815,93442949
n_1000_c_100000000_g_10_f_0.3_eps_0_s_100,99828603,99820501
n_1000_c_100000000_g_10_f_0.3_eps_0_s_200,99853556,99838719
n_1000_c_100000000_g_10_f_0.3_eps_0_s_300,99878968,99853498
n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_100,99958023,99852392
n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_200,99980170,99862035
n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_300,100005515,99869497
n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_100,100003132,99996519
n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_200,100010703,99992088
n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_300,100027364,100000061
n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_100,99959680,99957593
n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_200,99988197,99917979
n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_300,100009946,99923102
n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_100,99638810,99970173
n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_200,99136747,99601569
n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_300,99681877,99515509
n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_100,91373208,93286532
n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_200,92319559,99396240
n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_300,93766350,98496101
n_1000_c_100000000_g_14_f_0.1_eps_0_s_100,100009523,99993787
n_1000_c_100000000_g_14_f_0.1_eps_0_s_200,100022139,100001292
n_1000_c_100000000_g_14_f_0.1_eps_0_s_300,100033886,99998562
n_1000_c_100000000_g_14_f_0.1_eps_1e-05_s_100,100010167,99995325
n_1000_c_100000000_g_14_f_0.1_eps_1e-05_s_200,100015964,100000106
n_1000_c_100000000_g_14_f_0.1_eps_1e-05_s_300,100033656,100000260
n_1000_c_100000000_g_14_f_0.2_eps_0.0001_s_100,99993842,99999705
n_1000_c_100000000_g_14_f_0.2_eps_0.0001_s_200,100026214,100000176
n_1000_c_100000000_g_14_f_0.2_eps_0.0001_s_300,100034562,100002168
n_1000_c_100000000_g_14_f_0.2_eps_0.001_s_100,99995869,100000487
n_1000_c_100000000_g_14_f_0.2_eps_0.001_s_200,99987236,100000461
n_1000_c_100000000_g_14_f_0.2_eps_0.001_s_300,99974173,100000605
n_1000_c_100000000_g_14_f_0.2_eps_0.01_s_100,99689602,99337350
n_1000_c_100000000_g_14_f_0.2_eps_0.01_s_200,99435994,99576592
n_1000_c_100000000_g_14_f_0.2_eps_0.01_s_300,99392976,99970428
n_1000_c_100000000_g_14_f_0.2_eps_0.1_s_100,91708555,94190988
n_1000_c_100000000_g_14_f_0.2_eps_0.1_s_200,91512769,99592634
n_1000_c_100000000_g_14_f_0.2_eps_0.1_s_300,91023167,92933366
n_1000_c_100000000_g_14_f_0.2_eps_0_s_100,100011328,99999591
n_1000_c_100000000_g_14_f_0.2_eps_0_s_200,100022618,99999265
n_1000_c_100000000_g_14_f_0.2_eps_0_s_300,100036211,100001053
n_1000_c_100000000_g_14_f_0.2_eps_1e-05_s_100,100005316,99997490
n_1000_c_100000000_g_14_f_0.2_eps_1e-05_s_200,100021162,99999723
n_1000_c_100000000_g_14_f_0.2_eps_1e-05_s_300,100031253,100001683
n_1000_c_100000000_g_14_f_0.3_eps_0.0001_s_100,100014005,100000890
n_1000_c_100000000_g_14_f_0.3_eps_0.0001_s_200,100018173,100001531
n_1000_c_100000000_g_14_f_0.3_eps_0.0001_s_300,100032882,99998013
n_1000_c_100000000_g_14_f_0.3_eps_0.001_s_100,99968556,99999178
