instancia,lucro_guloso,lucro_sa,tempo_guloso_ms,tempo_sa_ms,tempo_total_ms
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0_s_300\test.in,528839,528839,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_1e-05_s_100\test.in,509988,509988,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_1e-05_s_200\test.in,521020,521020,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_1e-05_s_300\test.in,530241,530241,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0.0001_s_100\test.in,515284,515284,0,2,2
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0.0001_s_200\test.in,528961,528961,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0.0001_s_300\test.in,546154,546154,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0.001_s_100\test.in,515553,515553,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0.001_s_200\test.in,532252,532252,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0.001_s_300\test.in,545012,545012,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0.01_s_100\test.in,525839,525839,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0.01_s_200\test.in,539708,539708,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0.01_s_300\test.in,552932,552932,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0.1_s_100\test.in,615782,615782,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0.1_s_200\test.in,631373,631373,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0.1_s_300\test.in,643783,643783,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0_s_100\test.in,515259,515259,0,2,2
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0_s_200\test.in,532992,532992,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_0_s_300\test.in,545246,545246,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_1e-05_s_100\test.in,515466,515466,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_1e-05_s_200\test.in,528688,528688,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.3_eps_1e-05_s_300\test.in,546491,546491,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0.0001_s_100\test.in,979355,979355,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0.0001_s_200\test.in,985714,985714,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0.0001_s_300\test.in,992128,992128,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0.001_s_100\test.in,1003555,1003555,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0.001_s_200\test.in,1007207,1007207,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0.001_s_300\test.in,985139,985139,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0.01_s_100\test.in,986226,986226,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0.01_s_200\test.in,1004786,1004786,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0.01_s_300\test.in,1008690,1008690,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0.1_s_100\test.in,987268,987268,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0.1_s_200\test.in,961931,961931,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0.1_s_300\test.in,936250,936250,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0_s_100\test.in,976080,976080,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0_s_200\test.in,983779,983779,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_0_s_300\test.in,990129,990129,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_1e-05_s_100\test.in,976003,976003,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_1e-05_s_200\test.in,983747,983747,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.1_eps_1e-05_s_300\test.in,991313,991313,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.2_eps_0.0001_s_100\test.in,984319,984319,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.2_eps_0.0001_s_200\test.in,996454,996454,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.2_eps_0.0001_s_300\test.in,1009168,1009168,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_6_f_0.2_eps_0.001_s_100\test.in,979146,979146,0,1,1
